method,seed,stage,wall_clock_s,peak_memory_mb,device
bayesian_network,100,generation,10.02,44.63,cpu
bayesian_network,101,generation,7.39,43.26,cpu
bayesian_network,102,generation,8.03,43.23,cpu
bayesian_network,103,generation,7.54,43.19,cpu
bayesian_network,104,generation,8.22,43.19,cpu
privbayes,100,generation,117.82,54.39,cpu
privbayes,101,generation,117.08,52.29,cpu
privbayes,102,generation,118.39,319.24,cpu
privbayes,103,generation,117.14,75.16,cpu
privbayes,104,generation,117.26,60.05,cpu
ctgan,100,generation,2320.96,65.64,cuda
ctgan,101,generation,1461.65,64.6,cuda
ctgan,102,generation,1014.22,64.56,cuda
ctgan,103,generation,1748.18,64.56,cuda
ctgan,104,generation,1167.14,64.56,cuda
dpgan,100,generation,1357.86,135.12,cuda
dpgan,101,generation,1019.86,134.27,cuda
dpgan,102,generation,1008.45,134.01,cuda
dpgan,103,generation,1187.49,134.26,cuda
dpgan,104,generation,1019.5,134.27,cuda
bayesian_network,100,fidelity,0.32,7.61,cpu
bayesian_network,101,fidelity,0.32,7.41,cpu
bayesian_network,102,fidelity,0.32,7.38,cpu
bayesian_network,103,fidelity,0.32,7.37,cpu
bayesian_network,104,fidelity,0.32,7.36,cpu
privbayes,100,fidelity,0.32,7.37,cpu
privbayes,101,fidelity,0.32,7.36,cpu
privbayes,102,fidelity,0.31,7.36,cpu
privbayes,103,fidelity,0.32,7.36,cpu
privbayes,104,fidelity,0.32,7.38,cpu
ctgan,100,fidelity,0.31,7.36,cpu
ctgan,101,fidelity,0.31,7.35,cpu
ctgan,102,fidelity,0.32,7.35,cpu
ctgan,103,fidelity,0.31,7.35,cpu
ctgan,104,fidelity,0.32,7.35,cpu
dpgan,100,fidelity,0.31,7.36,cpu
dpgan,101,fidelity,0.31,7.36,cpu
dpgan,102,fidelity,0.31,7.35,cpu
dpgan,103,fidelity,0.31,7.37,cpu
dpgan,104,fidelity,0.31,7.36,cpu
bayesian_network,100,utility,39.03,51.24,cpu
bayesian_network,101,utility,34.14,51.26,cpu
bayesian_network,102,utility,33.26,51.26,cpu
bayesian_network,103,utility,34.63,51.23,cpu
bayesian_network,104,utility,37.01,51.26,cpu
privbayes,100,utility,30.89,51.26,cpu
privbayes,101,utility,33.74,51.23,cpu
privbayes,102,utility,31.16,51.26,cpu
privbayes,103,utility,38.25,51.26,cpu
privbayes,104,utility,38.0,51.23,cpu
ctgan,100,utility,30.43,51.26,cpu
ctgan,101,utility,25.81,51.26,cpu
ctgan,102,utility,73.07,51.26,cpu
ctgan,103,utility,65.52,51.38,cpu
ctgan,104,utility,61.62,51.24,cpu
dpgan,100,utility,89.78,51.26,cpu
dpgan,101,utility,70.63,51.26,cpu
dpgan,102,utility,61.21,51.24,cpu
dpgan,103,utility,76.0,51.26,cpu
dpgan,104,utility,52.14,51.26,cpu
