method,run_idx,seed,KSComplement,TVComplement,CorrelationSimilarity,ContingencySimilarity
bayesian_network,0,100,0.7265065279003857,0.8972959159968406,0.9692879769166082,0.7895308009372034
bayesian_network,1,101,0.7277888770152859,0.8969939134878965,0.9704669328166057,0.7898178692561447
bayesian_network,2,102,0.7277424150908332,0.896976490266227,0.970953287002143,0.7887691572470645
bayesian_network,3,103,0.7270454862240393,0.8961459833666311,0.9700432880091772,0.7882796476858642
bayesian_network,4,104,0.727742415090833,0.8958149421549041,0.9702437622134005,0.7881386025580609
privbayes,0,100,0.9424522603726245,0.9384611810621196,0.9594708660638032,0.8855974671613757
privbayes,1,101,0.7750685313385681,0.9875656274682898,0.9662417702003822,0.9653410637125732
privbayes,2,102,0.8159271477024579,0.9565058309715189,0.9695422254421912,0.9157197283968644
privbayes,3,103,0.8546299307717327,0.9077788877015287,0.9597357070736191,0.8249513809147688
privbayes,4,104,0.8740231380383776,0.9321481670770803,0.9460203915070642,0.864110486456349
ctgan,0,100,0.6565348696743019,0.892521953259304,0.987568410146727,0.8053361520234167
ctgan,1,101,0.7015750592389537,0.8216094410630488,0.9877764917366905,0.6689139857030023
ctgan,2,102,0.7147702457835804,0.8425114993263021,0.9831895911987939,0.7090653852025407
ctgan,3,103,0.6242438321795288,0.9175997769827626,0.9862287718096179,0.857753499578524
ctgan,4,104,0.7841843609162292,0.8689715653022348,0.9875452443499112,0.7568481557934701
dpgan,0,100,0.3089532128420759,0.14061120661617804,0.9445878309475129,0.0350787529619477
dpgan,1,101,0.2903405659062398,0.1964932862519166,0.9443496665602135,0.06060128367659845
dpgan,2,102,0.2702783069274729,0.28985271569948423,0.9602004963180273,0.09216718327901711
dpgan,3,103,0.4193653301119733,0.2045602378850532,0.9533700549994821,0.06129489383450263
dpgan,4,104,0.2808902104725177,0.28122822097291267,0.9497835866161166,0.09467114913614012
