method,run_idx,seed,tstr_xgboost_auc,trtr_xgboost_auc,retention_xgboost,tstr_logistic_regression_auc,trtr_logistic_regression_auc,retention_logistic_regression
bayesian_network,0,100,0.7615698400255495,0.9273908159858316,0.821196228060538,0.7582455070696512,0.9019926037220916,0.8406338410544999
bayesian_network,1,101,0.7684221939145836,0.9273908159858316,0.8285850804956896,0.7266055512005342,0.9019926037220916,0.8055559970250099
bayesian_network,2,102,0.7436091876433528,0.9273908159858316,0.8018293634414355,0.7233721293151003,0.9019926037220916,0.8019712427020909
bayesian_network,3,103,0.7553106763348141,0.9273908159858316,0.8144470090874325,0.7778891937403827,0.9019926037220916,0.8624119427702693
bayesian_network,4,104,0.7678615756467208,0.9273908159858316,0.8279805691524682,0.7944125076212873,0.9019926037220916,0.8807306227824123
privbayes,0,100,0.9042790806549952,0.9273908159858316,0.975078753280225,0.8794116366170195,0.9019926037220916,0.9749654631181107
privbayes,1,101,0.7912649159480881,0.9273908159858316,0.8532162517772623,0.7778287678192956,0.9019926037220916,0.8623449511776136
privbayes,2,102,0.8957472309322649,0.9273908159858316,0.9658789104786109,0.8774050605347966,0.9019926037220916,0.9727408594196516
privbayes,3,103,0.8121898861887756,0.9273908159858316,0.8757795227089935,0.8061873965682432,0.9019926037220916,0.8937849304323493
privbayes,4,104,0.8635480177394537,0.9273908159858316,0.931158690440004,0.8484456203002061,0.9019926037220916,0.9406347865814834
ctgan,0,100,0.870672560462213,0.9273908159858316,0.93884104247536,0.872582418778852,0.9019926037220916,0.9673942060922919
ctgan,1,101,0.8760261519031443,0.9273908159858316,0.9446137882785847,0.8735417936881225,0.9019926037220916,0.9684578233606725
ctgan,2,102,0.8740512404552447,0.9273908159858316,0.9424842530126999,0.8748595505617978,0.9019926037220916,0.9699187631380471
ctgan,3,103,0.8751487965624365,0.9273908159858316,0.9436677412339252,0.8770728086984294,0.9019926037220916,0.9723725062480223
ctgan,4,104,0.8749327693580699,0.9273908159858316,0.9434348003845627,0.8764222773858259,0.9019926037220916,0.9716512904532153
dpgan,0,100,0.5371338152890283,0.9273908159858316,0.5791881977158101,0.36502137589640854,0.9019926037220916,0.4046833359720913
dpgan,1,101,0.5846475517521702,0.9273908159858316,0.6304219770935302,0.5127290015387742,0.9019926037220916,0.5684403612878721
dpgan,2,102,0.35387624118108174,0.9273908159858316,0.3815826457208394,0.5306172516912,0.9019926037220916,0.5882722868254093
dpgan,3,103,0.6314964216241326,0.9273908159858316,0.6809388347811505,0.6898381020817002,0.9019926037220916,0.7647935240655729
dpgan,4,104,0.5235994977208721,0.9273908159858316,0.564594223595235,0.6588911389832477,0.9019926037220916,0.7304839710041074
