method,formal_epsilon,seed,stage,wall_clock_s,peak_memory_mb,device,epochs_run,epsilon_spent
dpctgan,1.0,100,generation,17.94,102.59,cuda,23.0,1.003794118442838
dpctgan,1.0,101,generation,16.81,102.51,cuda,23.0,1.003794118442838
dpctgan,1.0,102,generation,16.92,102.51,cuda,23.0,1.003794118442838
dpctgan,1.0,103,generation,16.45,102.51,cuda,23.0,1.003794118442838
dpctgan,1.0,104,generation,16.43,102.51,cuda,23.0,1.003794118442838
aim,1.0,100,generation,180.74,159.23,cpu,,
aim,1.0,101,generation,125.89,90.46,cpu,,
aim,1.0,102,generation,100.46,70.47,cpu,,
aim,1.0,103,generation,97.98,55.13,cpu,,
aim,1.0,104,generation,76.91,50.27,cpu,,
aim,0.1,100,generation,49.23,84.37,cpu,,
aim,0.1,101,generation,30.05,29.77,cpu,,
aim,0.1,102,generation,33.65,32.76,cpu,,
dpctgan,0.1,100,generation,4.2,102.59,cuda,0.0,0.1585509713673449
dpctgan,0.1,101,generation,3.1,101.26,cuda,0.0,0.1585509713673449
dpctgan,0.1,102,generation,3.05,102.51,cuda,0.0,0.1585509713673449
dpctgan,0.1,103,generation,3.06,102.51,cuda,0.0,0.1585509713673449
dpctgan,0.1,104,generation,3.06,102.51,cuda,0.0,0.1585509713673449
aim,0.1,103,generation,34.96,33.63,cpu,,
aim,0.1,104,generation,39.02,27.72,cpu,,
dpctgan,10.0,100,generation,210.53,102.59,cuda,300.0,3.9819881474801
dpctgan,10.0,101,generation,179.57,101.26,cuda,300.0,3.9819881474801
dpctgan,10.0,102,generation,188.98,102.51,cuda,300.0,3.9819881474801
dpctgan,10.0,103,generation,208.59,102.51,cuda,300.0,3.9819881474801
dpctgan,10.0,104,generation,239.49,102.51,cuda,300.0,3.9819881474801
dpctgan,100.0,100,generation,317.22,102.59,cuda,300.0,3.9819881474801
dpctgan,100.0,101,generation,304.3,101.26,cuda,300.0,3.9819881474801
dpctgan,100.0,102,generation,267.27,102.51,cuda,300.0,3.9819881474801
dpctgan,100.0,103,generation,298.95,102.51,cuda,300.0,3.9819881474801
dpctgan,100.0,104,generation,257.82,102.51,cuda,300.0,3.9819881474801
aim,10.0,100,generation,117100.76,917.77,cpu,,
aim,10.0,104,generation,130873.35,1165.49,cpu,,
aim,10.0,103,generation,210858.64,1832.03,cpu,,
