method,run_idx,seed,tstr_xgboost_auc,trtr_xgboost_auc,retention_xgboost,tstr_logistic_regression_auc,trtr_logistic_regression_auc,retention_logistic_regression
bayesian_network,0,100,0.7615698400255495,0.9273908159858316,0.821196228060538,0.7582455070696512,0.9019926037220916,0.8406338410544999
bayesian_network,1,101,0.7684221939145836,0.9273908159858316,0.8285850804956896,0.7266055512005342,0.9019926037220916,0.8055559970250099
bayesian_network,2,102,0.7436091876433528,0.9273908159858316,0.8018293634414355,0.7233721293151003,0.9019926037220916,0.8019712427020909
bayesian_network,3,103,0.7553106763348141,0.9273908159858316,0.8144470090874325,0.7778891937403827,0.9019926037220916,0.8624119427702693
bayesian_network,4,104,0.7678615756467208,0.9273908159858316,0.8279805691524682,0.7944125076212873,0.9019926037220916,0.8807306227824123
privbayes,0,100,0.9042790806549952,0.9273908159858316,0.975078753280225,0.8794116366170195,0.9019926037220916,0.9749654631181107
privbayes,1,101,0.7912649159480881,0.9273908159858316,0.8532162517772623,0.7778287678192956,0.9019926037220916,0.8623449511776136
privbayes,2,102,0.8957472309322649,0.9273908159858316,0.9658789104786109,0.8774050605347966,0.9019926037220916,0.9727408594196516
privbayes,3,103,0.8121898861887757,0.9273908159858316,0.8757795227089936,0.8061873965682432,0.9019926037220916,0.8937849304323493
privbayes,4,104,0.8635480177394537,0.9273908159858316,0.931158690440004,0.8484456203002061,0.9019926037220916,0.9406347865814834
ctgan,0,100,0.8640333304299859,0.9273908159858316,0.9316820002271688,0.8753210013645734,0.9019926037220916,0.9704303535888684
ctgan,1,101,0.8622121149435299,0.9273908159858316,0.9297181944021996,0.8695473318235926,0.9019926037220916,0.9640293370870083
ctgan,2,102,0.870402367679935,0.9273908159858316,0.9385496952055569,0.8697549211741137,0.9019926037220916,0.9642594823782941
ctgan,3,103,0.8560620082455069,0.9273908159858316,0.9230865709355759,0.875897315855181,0.9019926037220916,0.9710692884185217
ctgan,4,104,0.8602057203205296,0.9273908159858316,0.9275547110158912,0.8662763478791046,0.9019926037220916,0.9604029393416276
dpgan,0,100,0.5861742589205354,0.9273908159858316,0.632068216351078,0.40668931277763254,0.9019926037220916,0.45087876674312016
dpgan,1,101,0.3853275701884273,0.9273908159858316,0.41549642669128417,0.31078557326597567,0.9019926037220916,0.34455445863249035
dpgan,2,102,0.4434752707371599,0.9273908159858316,0.47819674628299874,0.6266977324855558,0.9019926037220916,0.6947925403151582
dpgan,3,103,0.5978870888134019,0.9273908159858316,0.6446980911470837,0.7009497575704788,0.9019926037220916,0.7771125336039285
dpgan,4,104,0.5306999063670411,0.9273908159858316,0.572250551999373,0.7476239729408007,0.9019926037220916,0.8288582077676853
aim,0,100,0.6711497074877334,0.9273908159858316,0.7236967370377615,0.761222164155271,0.9019926037220916,0.8439339314026209
aim,1,101,0.6961957074006329,0.9273908159858316,0.7507036897497906,0.7432994367505734,0.9019926037220916,0.8240637824338388
aim,2,102,0.6664531798914147,0.9273908159858316,0.7186324992694305,0.7446641915628719,0.9019926037220916,0.8255768267832789
aim,3,103,0.7176757614028976,0.9273908159858316,0.7738655041995391,0.7725198153470951,0.9019926037220916,0.8564591462937454
aim,4,104,0.648688049821444,0.9273908159858316,0.6994764651964749,0.7167715500972621,0.9019926037220916,0.7946534673782126
dpctgan,0,100,0.4468861597421827,0.9273908159858316,0.48187468760636304,0.6317765946636472,0.9019926037220916,0.7004232540894545
dpctgan,1,101,0.6807453619022732,0.9273908159858316,0.7340436741101751,0.5025175652527364,0.9019926037220916,0.557119385656919
dpctgan,2,102,0.6171124212466975,0.9273908159858316,0.665428652741937,0.5456514204627936,0.9019926037220916,0.6049400163716991
dpctgan,3,103,0.7754209853961617,0.9273908159858316,0.836131835715751,0.6672696556629794,0.9019926037220916,0.739772868324504
dpctgan,4,104,0.7257418053015127,0.9273908159858316,0.782563071352003,0.6577637328339576,0.9019926037220916,0.729234064802396
great,0,100,0.8995190423308075,0.9273908159858316,0.9699460322718465,0.8856950251139565,0.9019926037220916,0.981931582874535
great,1,101,0.8977579805766048,0.9273908159858316,0.9680470898585225,0.8864729408007432,0.9019926037220916,0.9827940241889943
great,2,102,0.8884287990302818,0.9273908159858316,0.9579874888947089,0.8731326031414222,0.9019926037220916,0.9680041715845806
great,3,103,0.8956189392619689,0.9273908159858316,0.9657405743337142,0.8871113143454402,0.9019926037220916,0.9835017611948885
great,4,104,0.8845446643730221,0.9273908159858316,0.9537992495997889,0.8760054655517812,0.9019926037220916,0.9711891892870586
