method,run_idx,seed,KSComplement,TVComplement,CorrelationSimilarity,ContingencySimilarity
bayesian_network,0,100,0.7265065279003857,0.8972959159968406,0.9692879769166082,0.7895308009372034
bayesian_network,1,101,0.7277888770152859,0.8969939134878965,0.9704669328166057,0.7898178692561447
bayesian_network,2,102,0.7277424150908332,0.896976490266227,0.970953287002143,0.7887691572470645
bayesian_network,3,103,0.7270454862240393,0.8961459833666311,0.9700432880091772,0.7882796476858642
bayesian_network,4,104,0.727742415090833,0.8958149421549041,0.9702437622134005,0.7881386025580609
privbayes,0,100,0.9424522603726245,0.9384611810621196,0.9594708660638032,0.8855974671613757
privbayes,1,101,0.7750685313385681,0.9875656274682898,0.9662417702003822,0.9653410637125732
privbayes,2,102,0.8159271477024579,0.9565058309715189,0.9695422254421912,0.9157197283968644
privbayes,3,103,0.8546299307717327,0.9077788877015287,0.9597357070736191,0.8249513809147688
privbayes,4,104,0.8740231380383776,0.9321481670770803,0.9460203915070642,0.864110486456349
ctgan,0,100,0.7821586210100823,0.885151930492961,0.9863517534746972,0.7890180604137766
ctgan,1,101,0.6728987594666171,0.9251324164846908,0.988423169674849,0.8636923291362727
ctgan,2,102,0.6987780513868884,0.8752032709194814,0.982714682799798,0.7936244283523938
ctgan,3,103,0.5515773823351763,0.8442422060121729,0.9819725091912741,0.7219585692382237
ctgan,4,104,0.6133624494726572,0.8266215211634067,0.983426230453953,0.6902798335335623
dpgan,0,100,0.2021744180643962,0.25412930353575247,0.9460056683410472,0.09741240267886185
dpgan,1,101,0.40273196115783116,0.26307903173349445,0.9667751332571001,0.07783865764862836
dpgan,2,102,0.17636017283835895,0.201360172838359,0.9457833607477253,0.05701044065816633
dpgan,3,103,0.3701621521163406,0.23430748501602938,0.9732108846089582,0.08423546903312738
dpgan,4,104,0.2926172002044325,0.28719857826511175,0.9512742045419621,0.1154993661266021
