,method,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
performance.linear_model.gt,bayesian_network,0.8094591135699032,0.8094591135699032,0.8094591135699032,0.0,0.8094591135699032,0.0,1,0,0.02,maximize
performance.linear_model.syn_id,bayesian_network,0.6653153181453619,0.6653153181453619,0.6653153181453619,0.0,0.6653153181453619,0.0,1,0,0.02,maximize
performance.linear_model.syn_ood,bayesian_network,0.6627645846869433,0.6627645846869433,0.6627645846869433,0.0,0.6627645846869433,0.0,1,0,0.02,maximize
performance.xgb.gt,bayesian_network,0.9198840726437556,0.9198840726437556,0.9198840726437556,0.0,0.9198840726437556,0.0,1,0,0.02,maximize
performance.xgb.syn_id,bayesian_network,0.767285831219002,0.767285831219002,0.767285831219002,0.0,0.767285831219002,0.0,1,0,0.02,maximize
performance.xgb.syn_ood,bayesian_network,0.7758380759291577,0.7758380759291577,0.7758380759291577,0.0,0.7758380759291577,0.0,1,0,0.02,maximize
performance.feat_rank_distance.corr,bayesian_network,0.2251508229241614,0.2251508229241614,0.2251508229241614,0.0,0.2251508229241614,0.0,1,0,0.21,minimize
performance.feat_rank_distance.pvalue,bayesian_network,1.0429023527688668e-108,1.0429023527688668e-108,1.0429023527688668e-108,0.0,1.0429023527688668e-108,0.0,1,0,0.21,minimize
performance.linear_model.gt,privbayes,0.8094591135699032,0.8094591135699032,0.8094591135699032,0.0,0.8094591135699032,0.0,1,0,0.02,maximize
performance.linear_model.syn_id,privbayes,0.7805903069095688,0.7805903069095688,0.7805903069095688,0.0,0.7805903069095688,0.0,1,0,0.02,maximize
performance.linear_model.syn_ood,privbayes,0.7842666013532131,0.7842666013532131,0.7842666013532131,0.0,0.7842666013532131,0.0,1,0,0.02,maximize
performance.xgb.gt,privbayes,0.9198840726437556,0.9198840726437556,0.9198840726437556,0.0,0.9198840726437556,0.0,1,0,0.02,maximize
performance.xgb.syn_id,privbayes,0.8826150650697662,0.8826150650697662,0.8826150650697662,0.0,0.8826150650697662,0.0,1,0,0.02,maximize
performance.xgb.syn_ood,privbayes,0.8871150219809252,0.8871150219809252,0.8871150219809252,0.0,0.8871150219809252,0.0,1,0,0.02,maximize
performance.feat_rank_distance.corr,privbayes,0.6139090403781216,0.6139090403781216,0.6139090403781216,0.0,0.6139090403781216,0.0,1,0,0.21,minimize
performance.feat_rank_distance.pvalue,privbayes,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.21,minimize
performance.linear_model.gt,ctgan,0.8094591135699032,0.8094591135699032,0.8094591135699032,0.0,0.8094591135699032,0.0,1,0,0.02,maximize
performance.linear_model.syn_id,ctgan,0.7460455109307569,0.7460455109307569,0.7460455109307569,0.0,0.7460455109307569,0.0,1,0,0.02,maximize
performance.linear_model.syn_ood,ctgan,0.7484581602696901,0.7484581602696901,0.7484581602696901,0.0,0.7484581602696901,0.0,1,0,0.02,maximize
performance.xgb.gt,ctgan,0.9198840726437556,0.9198840726437556,0.9198840726437556,0.0,0.9198840726437556,0.0,1,0,0.02,maximize
performance.xgb.syn_id,ctgan,0.8718672472977229,0.8718672472977229,0.8718672472977229,0.0,0.8718672472977229,0.0,1,0,0.02,maximize
performance.xgb.syn_ood,ctgan,0.871519592335194,0.871519592335194,0.871519592335194,0.0,0.871519592335194,0.0,1,0,0.02,maximize
performance.feat_rank_distance.corr,ctgan,0.4438308847856196,0.4438308847856196,0.4438308847856196,0.0,0.4438308847856196,0.0,1,0,0.2,minimize
performance.feat_rank_distance.pvalue,ctgan,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.2,minimize
performance.linear_model.gt,dpgan,0.8094591135699032,0.8094591135699032,0.8094591135699032,0.0,0.8094591135699032,0.0,1,0,0.02,maximize
performance.linear_model.syn_id,dpgan,0.7565583974584461,0.7565583974584461,0.7565583974584461,0.0,0.7565583974584461,0.0,1,0,0.02,maximize
performance.linear_model.syn_ood,dpgan,0.7598120423947814,0.7598120423947814,0.7598120423947814,0.0,0.7598120423947814,0.0,1,0,0.02,maximize
performance.xgb.gt,dpgan,0.9198840726437556,0.9198840726437556,0.9198840726437556,0.0,0.9198840726437556,0.0,1,0,0.02,maximize
performance.xgb.syn_id,dpgan,0.39391671383559235,0.39391671383559235,0.39391671383559235,0.0,0.39391671383559235,0.0,1,0,0.02,maximize
performance.xgb.syn_ood,dpgan,0.3945877995375898,0.3945877995375898,0.3945877995375898,0.0,0.3945877995375898,0.0,1,0,0.02,maximize
performance.feat_rank_distance.corr,dpgan,-0.028360807380635074,-0.028360807380635074,-0.028360807380635074,0.0,-0.028360807380635074,0.0,1,0,0.19,minimize
performance.feat_rank_distance.pvalue,dpgan,0.005269804869712262,0.005269804869712262,0.005269804869712262,0.0,0.005269804869712262,0.0,1,0,0.19,minimize
